Product,Barcode,Unit Price,SKU
Classic Cotton T-Shirt,8901234560012,999.00,TSH-BLK-001
Slim Fit Jeans,8901234560029,2499.00,JNS-BLU-042
Running Shoes,8901234560036,3999.00,SHO-RED-118
Leather Wallet,8901234560043,1499.00,WLT-BRN-007
Wireless Earbuds,8901234560050,5999.00,EAR-WHT-023
Denim Jacket,8901234560067,3499.00,JKT-BLU-015
Graphic Hoodie,8901234560074,1999.00,HOOD-GRY-008
Formal Shirt,8901234560081,1799.00,SHIRT-WHT-031
Sports Shorts,8901234560098,899.00,SHRT-BLK-056
Backpack 30L,8901234560104,2499.00,BPK-GRN-003
Tote Bag,8901234560111,599.00,
Notebook Set,8901234560128,349.00,
